,branch,opted_in,total_download_started,total_opted_out,total_move_download,total_cancel_click,cs_provider
80,notification-interval-longer,0,11,0,0,0,1
81,notification-interval-short,0,0,0,0,0,1
82,notification-interval-short,0,0,0,0,0,1
83,control,0,1,0,0,0,1
84,notification-interval-short,0,0,0,0,0,1
85,notification-interval-longer,0,0,0,0,0,1
86,notification-interval-short,0,0,0,0,0,1
87,notification-interval-short,0,0,0,0,0,1
88,notification-interval-longer,0,50,0,0,0,1
89,notification-interval-longer,0,3,0,0,0,1
90,notification-interval-short,0,6,0,0,3,1
91,notification-interval-longer,0,0,0,0,0,2
92,control,0,1,0,0,0,1
93,control,0,0,0,0,0,1
94,notification-interval-short,0,4,0,0,1,1
95,notification-interval-short,0,0,0,0,0,1
96,control,0,5,0,0,0,2
97,notification-interval-short,0,0,0,0,0,1
98,notification-interval-short,0,32,0,0,0,1
99,notification-interval-longer,0,0,0,0,0,1
100,notification-interval-short,0,0,0,0,0,2
101,notification-interval-short,0,3,0,0,0,1
102,notification-interval-longer,0,1,0,0,0,1
103,notification-interval-short,0,0,0,0,0,1
104,notification-interval-short,0,0,0,0,0,1
105,control,0,0,0,0,0,1
106,notification-interval-short,0,1,0,0,0,1
107,notification-interval-longer,0,1,0,0,0,1
108,notification-interval-short,0,0,0,0,0,1
109,notification-interval-longer,0,0,0,0,0,1
110,notification-interval-short,0,0,0,0,0,2
111,notification-interval-short,0,2,0,0,0,1
112,notification-interval-longer,0,0,0,0,0,1
113,notification-interval-longer,0,0,0,0,0,2
114,control,0,0,0,0,0,1
115,notification-interval-short,0,0,0,0,0,1
116,notification-interval-longer,0,23,0,0,1,1
117,notification-interval-longer,0,2,0,0,1,1
118,control,0,0,0,0,0,1
119,notification-interval-longer,0,0,0,0,0,2
120,notification-interval-short,0,0,0,0,0,1
121,notification-interval-longer,0,0,0,0,0,1
122,control,0,4,0,0,0,1
123,notification-interval-longer,0,34,0,0,0,1
124,notification-interval-longer,0,8,0,0,0,1
125,notification-interval-longer,0,0,0,0,0,1
126,control,0,0,0,0,0,1
127,notification-interval-short,0,0,0,0,0,1
128,notification-interval-longer,0,0,0,0,0,2
129,control,0,4,0,0,0,1
130,notification-interval-short,0,9,0,0,0,1
131,notification-interval-short,0,5,0,0,0,1
132,notification-interval-longer,0,0,0,0,0,1
133,control,0,0,0,0,0,2
134,notification-interval-short,0,19,0,0,1,1
135,notification-interval-short,0,0,0,0,0,1
136,notification-interval-longer,0,11,0,0,0,1
137,control,0,0,0,0,0,2
138,notification-interval-longer,0,1,0,0,0,1
139,notification-interval-short,0,0,0,0,0,1
140,notification-interval-longer,0,0,0,0,0,1
141,notification-interval-longer,0,0,0,0,0,1
142,control,0,1,0,0,0,2
143,notification-interval-short,0,3,0,0,1,1
144,notification-interval-short,0,0,0,0,0,1
145,notification-interval-longer,0,1,0,0,0,2
146,notification-interval-short,0,0,0,0,0,1
147,notification-interval-longer,0,0,0,0,0,1
148,notification-interval-short,0,0,0,0,0,1
149,notification-interval-short,0,5,0,0,0,2
150,notification-interval-short,0,0,0,0,0,1
151,notification-interval-longer,0,0,0,0,0,1
152,notification-interval-longer,0,0,0,0,0,1
153,notification-interval-longer,0,11,0,0,0,1
154,control,0,0,0,0,0,1
155,control,0,0,0,0,0,1
156,notification-interval-longer,0,0,0,0,0,1
157,notification-interval-short,0,12,0,0,0,1
158,control,0,0,0,0,0,1
159,control,0,3,0,0,0,1
160,control,0,15,0,0,0,1
161,control,0,0,0,0,0,1
162,notification-interval-short,0,23,0,0,0,1
163,notification-interval-short,0,0,0,0,0,1
164,notification-interval-short,0,0,0,0,0,1
165,notification-interval-longer,0,2,0,0,0,1
166,notification-interval-short,0,0,0,0,0,1
167,notification-interval-short,0,5,0,0,0,1
168,notification-interval-longer,0,0,0,0,0,1
169,control,0,0,0,0,0,1
170,notification-interval-longer,0,8,0,0,0,1
171,notification-interval-short,0,49,0,0,1,2
172,notification-interval-short,0,0,0,0,0,1
173,notification-interval-short,0,0,0,0,0,1
174,control,0,9,0,0,0,1
175,notification-interval-short,0,10,0,0,1,2
176,notification-interval-longer,0,9,0,0,2,1
177,control,0,53,0,0,0,1
178,notification-interval-longer,0,1,0,0,0,1
179,notification-interval-short,0,6,0,0,1,1
180,control,0,5,0,0,0,1
181,notification-interval-short,0,1,0,0,0,1
182,notification-interval-short,0,0,0,0,0,1
183,notification-interval-longer,0,2,0,0,0,1
184,notification-interval-longer,0,0,0,0,0,2
185,notification-interval-longer,0,0,0,0,0,1
186,notification-interval-short,0,0,0,0,0,1
187,notification-interval-longer,0,0,0,0,0,1
188,notification-interval-short,0,0,0,0,0,1
189,notification-interval-longer,0,2,0,0,1,1
190,notification-interval-short,0,0,0,0,0,1
191,control,0,0,0,0,0,1
192,notification-interval-short,0,0,0,0,0,1
193,notification-interval-short,0,49,0,0,0,1
194,notification-interval-longer,0,8,0,0,1,1
195,notification-interval-short,0,6,0,0,0,1
196,control,0,2,0,0,0,1
197,notification-interval-longer,0,6,0,0,0,1
198,notification-interval-short,0,0,0,0,0,1
199,notification-interval-longer,0,0,0,0,0,1
200,control,0,0,0,0,0,1
201,notification-interval-longer,0,11,0,0,1,2
202,notification-interval-longer,0,13,0,0,0,2
203,control,0,4,0,0,0,1
204,notification-interval-short,0,0,0,0,0,1
205,control,0,40,0,0,0,1
206,notification-interval-short,0,0,0,0,0,1
207,notification-interval-longer,0,0,0,0,0,1
208,notification-interval-longer,0,1,0,0,1,1
209,notification-interval-short,0,0,0,0,0,1
210,notification-interval-short,0,0,0,0,0,1
211,control,0,0,0,0,0,1
212,notification-interval-short,0,0,0,0,0,1
213,notification-interval-longer,0,0,0,0,0,2
214,control,0,0,0,0,0,1
215,notification-interval-short,0,0,0,0,0,1
216,notification-interval-short,0,45,0,0,1,1
217,notification-interval-short,0,0,0,0,0,2
218,notification-interval-longer,0,0,0,0,0,1
219,notification-interval-longer,0,0,0,0,0,1
220,notification-interval-short,0,7,0,0,0,2
221,notification-interval-short,0,36,0,0,1,1
222,notification-interval-short,0,0,0,0,0,1
223,notification-interval-short,0,0,0,0,0,1
224,notification-interval-short,0,0,0,0,0,2
225,control,0,0,0,0,0,1
226,notification-interval-short,0,0,0,0,0,1
227,notification-interval-longer,0,0,0,0,0,1
228,notification-interval-longer,0,3,0,0,0,1
229,notification-interval-short,0,3,0,0,0,1
230,notification-interval-short,0,0,0,0,0,1
231,notification-interval-longer,0,0,0,0,0,1
232,control,0,12,0,0,0,1
233,notification-interval-short,0,0,0,0,0,1
234,notification-interval-short,0,8,0,0,1,2
236,notification-interval-short,0,0,0,0,0,1
237,notification-interval-longer,0,11,0,0,0,1
238,notification-interval-short,0,0,0,0,0,1
239,notification-interval-short,0,0,0,0,0,1
240,notification-interval-longer,0,0,0,0,0,1
241,control,0,0,0,0,0,1
242,notification-interval-longer,0,0,0,0,0,1
243,notification-interval-longer,0,0,0,0,0,1
244,notification-interval-longer,0,4,0,0,0,1
245,control,0,0,0,0,0,1
246,notification-interval-short,0,0,0,0,0,2
247,control,0,0,0,0,0,1
248,control,0,0,0,0,0,1
249,notification-interval-longer,0,0,0,0,0,1
251,notification-interval-longer,0,0,0,0,0,1
252,notification-interval-short,0,0,0,0,0,1
253,notification-interval-longer,0,6,0,0,1,1
254,notification-interval-longer,0,0,0,0,0,1
255,notification-interval-short,0,2,0,0,0,1
256,notification-interval-longer,0,12,0,0,0,2
257,notification-interval-short,0,0,0,0,0,1
258,notification-interval-longer,0,0,0,0,0,1
259,notification-interval-short,0,1,0,0,1,1
260,notification-interval-short,0,0,0,0,0,1
261,notification-interval-short,0,0,0,0,0,1
262,control,0,7,0,0,0,1
263,notification-interval-longer,0,0,0,0,0,1
264,control,0,3,0,0,0,1
265,notification-interval-longer,0,0,0,0,0,1
266,notification-interval-short,0,0,0,0,0,1
267,control,0,0,0,0,0,1
268,control,0,0,0,0,0,1
269,control,0,0,0,0,0,1
270,notification-interval-short,0,0,0,0,0,1
271,notification-interval-longer,0,2,0,0,0,1
272,notification-interval-longer,0,3,0,0,0,1
273,notification-interval-short,0,1,0,0,0,1
274,notification-interval-short,0,43,0,0,0,1
275,control,0,0,0,0,0,1
276,notification-interval-longer,0,0,0,0,0,1
277,notification-interval-longer,0,0,0,0,0,1
278,control,0,0,0,0,0,1
279,notification-interval-short,0,0,0,0,0,1
280,notification-interval-short,0,1,0,0,1,2
281,notification-interval-longer,0,7,0,0,0,1
282,notification-interval-longer,1,14,0,0,0,2
283,notification-interval-longer,0,0,0,0,0,1
284,notification-interval-longer,0,1,0,0,0,1
285,notification-interval-longer,0,4,0,0,0,1
286,notification-interval-short,0,0,0,0,0,1
287,notification-interval-short,0,0,0,0,0,1
288,notification-interval-longer,0,3,0,0,0,1
289,notification-interval-short,0,6,0,0,0,1
290,notification-interval-short,0,1,0,0,0,1
291,notification-interval-short,0,0,0,0,0,1
292,notification-interval-longer,0,0,0,0,0,1
293,notification-interval-longer,0,1,0,0,0,1
294,notification-interval-longer,0,0,0,0,0,1
295,notification-interval-longer,0,2,0,0,0,1
296,notification-interval-short,0,0,0,0,0,1
297,notification-interval-short,0,1,0,0,0,2
298,notification-interval-longer,0,18,0,0,3,1
299,notification-interval-short,0,0,0,0,0,1
300,notification-interval-longer,0,0,0,0,0,2
301,control,0,0,0,0,0,1
302,notification-interval-longer,0,5,0,0,2,1
303,notification-interval-longer,0,3,0,0,0,1
304,notification-interval-short,0,0,0,0,0,1
305,notification-interval-longer,0,0,0,0,0,2
306,notification-interval-short,0,0,0,0,0,1
307,notification-interval-longer,0,0,0,0,0,1
308,control,0,0,0,0,0,1
309,notification-interval-longer,0,0,0,0,0,1
310,notification-interval-longer,0,0,0,0,0,1
311,notification-interval-longer,0,1,0,0,0,1
313,notification-interval-short,0,1,0,0,0,1
314,notification-interval-short,0,0,0,0,0,1
315,notification-interval-longer,0,0,0,0,0,1
316,control,0,7,0,0,0,1
317,notification-interval-short,0,34,0,0,0,1
318,control,0,0,0,0,0,1
319,notification-interval-short,0,1,0,0,0,1
320,notification-interval-longer,0,3,0,0,0,1
321,notification-interval-longer,0,0,0,0,0,1
322,notification-interval-short,0,0,0,0,0,1
323,notification-interval-short,0,0,0,0,0,2
324,notification-interval-longer,0,0,0,0,0,2
325,notification-interval-short,0,0,0,0,0,1
326,notification-interval-short,0,4,0,0,0,1
327,notification-interval-short,0,5,0,0,0,1
329,notification-interval-short,0,1,0,0,0,1
330,notification-interval-short,0,0,0,0,0,1
331,notification-interval-short,0,1,0,0,0,1
332,notification-interval-short,0,0,0,0,0,1
333,notification-interval-longer,0,0,0,0,0,1
334,control,0,1,0,0,0,1
335,control,0,0,0,0,0,2
336,control,0,0,0,0,0,1
337,notification-interval-short,0,7,0,0,1,1
338,notification-interval-longer,0,6,0,0,2,1
339,control,0,0,0,0,0,1
340,notification-interval-longer,0,0,0,0,0,1
341,notification-interval-longer,0,0,0,0,0,1
342,notification-interval-short,0,7,0,0,0,1
343,notification-interval-longer,0,0,0,0,0,1
344,notification-interval-short,0,0,0,0,0,1
345,notification-interval-longer,0,0,0,0,0,1
346,notification-interval-short,0,15,0,0,0,1
347,control,0,0,0,0,0,1
348,control,0,0,0,0,0,1
349,notification-interval-short,0,0,0,0,0,1
350,notification-interval-longer,0,0,0,0,0,1
351,notification-interval-short,0,1,0,0,0,1
352,control,0,6,0,0,0,2
353,notification-interval-longer,0,0,0,0,0,1
354,notification-interval-short,0,0,0,0,0,1
355,notification-interval-short,0,0,0,0,0,1
356,control,0,0,0,0,0,1
357,notification-interval-short,0,0,0,0,0,1
358,notification-interval-longer,0,0,0,0,0,1
359,notification-interval-short,0,0,0,0,0,1
360,notification-interval-short,0,0,0,0,0,1
361,notification-interval-short,0,13,0,0,0,1
362,control,0,1,0,0,0,1
363,notification-interval-longer,1,52,2,0,0,1
364,notification-interval-longer,0,0,0,0,0,1
365,notification-interval-longer,0,0,0,0,0,1
366,control,0,4,0,0,0,2
367,notification-interval-longer,0,38,0,0,4,1
368,notification-interval-short,0,0,0,0,0,1
369,control,0,0,0,0,0,1
370,notification-interval-longer,0,2,0,0,0,1
371,notification-interval-short,0,4,0,0,0,1
372,notification-interval-short,0,0,0,0,0,1
373,control,0,3,0,0,0,1
374,notification-interval-short,0,6,0,0,0,1
375,notification-interval-short,0,4,0,0,0,1
376,control,0,0,0,0,0,1
377,control,0,52,0,0,0,1
378,notification-interval-longer,0,0,0,0,0,1
379,notification-interval-longer,0,1,0,0,0,2
380,notification-interval-short,0,0,0,0,0,1
381,notification-interval-longer,0,0,0,0,0,1
382,notification-interval-longer,0,0,0,0,0,2
383,notification-interval-longer,0,40,0,0,0,1
384,control,0,13,0,0,0,1
385,notification-interval-short,0,0,0,0,0,1
386,notification-interval-longer,0,1,0,0,0,1
387,control,0,0,0,0,0,1
388,notification-interval-short,0,1,0,0,0,2
389,notification-interval-longer,0,0,0,0,0,1
390,control,0,0,0,0,0,1
391,notification-interval-longer,0,0,0,0,0,1
392,notification-interval-short,0,2,0,0,0,1
393,notification-interval-short,0,0,0,0,0,1
394,control,0,0,0,0,0,2
395,notification-interval-short,0,0,0,0,0,1
396,control,0,0,0,0,0,2
397,notification-interval-short,0,0,0,0,0,1
398,notification-interval-short,0,0,0,0,0,1
399,control,0,0,0,0,0,1
400,control,0,0,0,0,0,1
401,notification-interval-short,0,0,0,0,0,1
402,notification-interval-short,0,4,0,0,1,1
403,control,0,0,0,0,0,1
404,control,0,0,0,0,0,1
405,notification-interval-short,0,0,0,0,0,1
406,notification-interval-short,0,1,0,0,0,1
407,notification-interval-longer,0,2,0,0,1,1
408,notification-interval-longer,0,0,0,0,0,1
409,notification-interval-short,0,1,0,0,0,1
410,notification-interval-longer,0,0,0,0,0,2
411,notification-interval-longer,1,32,0,0,0,1
412,control,0,3,0,0,0,1
413,notification-interval-longer,0,4,0,0,1,1
414,notification-interval-longer,0,0,0,0,0,1
415,notification-interval-short,0,0,0,0,0,1
416,notification-interval-short,0,0,0,0,0,1
417,control,0,0,0,0,0,2
418,notification-interval-longer,0,0,0,0,0,1
419,notification-interval-longer,0,1,0,0,0,1
420,notification-interval-longer,0,0,0,0,0,1
421,notification-interval-short,0,6,0,0,0,1
422,notification-interval-longer,0,0,0,0,0,1
423,control,0,0,0,0,0,2
424,notification-interval-short,0,0,0,0,0,1
425,control,0,0,0,0,0,1
426,control,0,0,0,0,0,1
427,control,0,0,0,0,0,1
428,notification-interval-short,0,0,0,0,0,1
429,control,0,5,0,0,0,1
430,control,0,0,0,0,0,1
431,control,0,4,0,0,0,1
432,notification-interval-longer,0,0,0,0,0,1
433,control,0,0,0,0,0,1
434,notification-interval-longer,0,0,0,0,0,1
435,notification-interval-longer,0,0,0,0,0,2
436,notification-interval-short,0,5,0,0,0,1
437,notification-interval-longer,0,1,0,0,1,1
438,notification-interval-longer,0,0,0,0,0,1
439,notification-interval-short,0,0,0,0,0,1
440,notification-interval-longer,0,0,0,0,0,1
441,notification-interval-longer,0,1,0,0,0,1
442,notification-interval-longer,0,0,0,0,0,1
443,notification-interval-short,0,1,0,0,0,1
444,notification-interval-short,0,0,0,0,0,1
445,notification-interval-short,0,0,0,0,0,2
446,notification-interval-longer,0,12,0,0,2,1
447,notification-interval-short,0,0,0,0,0,1
448,control,0,2,0,0,0,1
449,control,0,0,0,0,0,1
450,notification-interval-short,0,1,0,0,0,1
451,control,0,0,0,0,0,1
452,notification-interval-longer,0,0,0,0,0,2
453,notification-interval-longer,0,5,0,0,0,1
454,control,0,0,0,0,0,1
455,notification-interval-longer,0,0,0,0,0,1
456,control,0,0,0,0,0,1
457,control,0,0,0,0,0,1
458,notification-interval-short,0,14,0,0,0,1
459,notification-interval-short,0,23,0,0,2,1
460,control,0,6,0,0,0,1
461,control,0,0,0,0,0,1
462,notification-interval-short,0,0,0,0,0,1
463,control,0,0,0,0,0,1
464,notification-interval-longer,0,0,0,0,0,1
465,notification-interval-longer,0,0,0,0,0,1
466,notification-interval-short,0,51,0,0,0,1
467,notification-interval-longer,0,0,0,0,0,2
468,notification-interval-longer,0,0,0,0,0,2
469,control,0,0,0,0,0,1
470,notification-interval-short,0,0,0,0,0,2
471,notification-interval-short,0,23,0,0,0,1
472,notification-interval-short,0,0,0,0,0,1
473,notification-interval-short,0,0,0,0,0,1
474,notification-interval-longer,0,23,0,0,0,1
475,control,0,0,0,0,0,1
476,notification-interval-short,0,6,0,0,1,1
477,notification-interval-short,0,1,0,0,0,1
478,notification-interval-short,0,0,0,0,0,2
479,notification-interval-longer,0,0,0,0,0,1
480,notification-interval-longer,0,0,0,0,0,1
481,notification-interval-longer,0,0,0,0,0,2
482,notification-interval-short,0,40,0,0,3,2
483,notification-interval-longer,0,0,0,0,0,1
484,notification-interval-short,0,0,0,0,0,1
485,notification-interval-longer,0,38,0,0,0,1
486,control,0,0,0,0,0,1
487,notification-interval-longer,0,0,0,0,0,2
488,notification-interval-longer,0,1,0,0,0,1
489,notification-interval-longer,0,0,0,0,0,1
490,notification-interval-longer,0,1,0,0,0,1
491,notification-interval-short,0,0,0,0,0,1
492,notification-interval-short,0,0,0,0,0,2
493,notification-interval-longer,0,3,0,0,0,1
494,notification-interval-longer,0,30,0,0,1,1
496,control,0,0,0,0,0,1
497,control,0,0,0,0,0,2
498,notification-interval-short,0,0,0,0,0,1
499,control,0,0,0,0,0,1
500,notification-interval-short,0,0,0,0,0,1
501,control,0,0,0,0,0,1
502,control,0,17,0,0,0,1
503,notification-interval-longer,0,0,0,0,0,1
504,control,0,11,0,0,0,1
505,notification-interval-short,0,3,0,0,0,1
506,notification-interval-longer,0,1,0,0,0,1
507,notification-interval-short,0,0,0,0,0,1
508,notification-interval-short,0,0,0,0,0,1
509,notification-interval-longer,0,0,0,0,0,1
510,control,0,0,0,0,0,1
511,control,0,0,0,0,0,1
512,notification-interval-longer,0,0,0,0,0,1
513,notification-interval-longer,0,0,0,0,0,1
514,notification-interval-longer,0,0,0,0,0,1
515,notification-interval-short,0,8,0,0,0,1
516,control,0,0,0,0,0,2
517,notification-interval-longer,0,2,0,0,0,2
518,notification-interval-short,0,0,0,0,0,2
519,control,0,1,0,0,0,1
520,notification-interval-short,0,0,0,0,0,1
521,control,0,0,0,0,0,1
522,control,0,0,0,0,0,1
523,notification-interval-short,0,0,0,0,0,1
524,notification-interval-short,0,0,0,0,0,1
525,control,0,0,0,0,0,1
526,notification-interval-short,0,0,0,0,0,1
527,control,0,2,0,0,0,1
528,notification-interval-short,0,27,0,0,0,1
529,notification-interval-longer,0,0,0,0,0,1
530,notification-interval-longer,0,12,0,0,0,1
531,notification-interval-longer,0,0,0,0,0,1
532,notification-interval-longer,0,27,0,0,0,1
533,control,0,0,0,0,0,1
534,control,0,1,0,0,0,1
535,notification-interval-longer,0,1,0,0,0,1
536,control,0,0,0,0,0,1
537,control,0,1,0,0,0,1
538,notification-interval-longer,0,0,0,0,0,2
539,notification-interval-short,0,9,0,0,0,2
540,notification-interval-longer,0,0,0,0,0,1
541,control,0,2,0,0,0,1
542,notification-interval-short,0,0,0,0,0,1
543,notification-interval-short,0,0,0,0,0,1
544,notification-interval-longer,0,2,0,0,1,1
545,notification-interval-longer,0,5,0,0,0,1
546,control,0,0,0,0,0,1
547,control,0,0,0,0,0,1
548,notification-interval-longer,0,0,0,0,0,1
549,notification-interval-longer,0,0,0,0,0,1
550,notification-interval-longer,0,10,0,0,0,1
551,notification-interval-longer,0,0,0,0,0,1
552,notification-interval-longer,0,0,0,0,0,1
553,notification-interval-short,0,4,0,0,0,1
554,notification-interval-short,0,9,0,0,0,1
555,notification-interval-short,0,0,0,0,0,2
556,control,0,9,0,0,0,1
557,notification-interval-longer,0,0,0,0,0,1
558,control,0,0,0,0,0,1
559,control,0,0,0,0,0,1
560,control,0,2,0,0,0,1
561,notification-interval-short,0,0,0,0,0,1
562,notification-interval-short,0,0,0,0,0,1
563,notification-interval-short,0,0,0,0,0,1
564,notification-interval-longer,0,1,0,0,0,1
565,control,0,0,0,0,0,1
566,notification-interval-longer,0,0,0,0,0,1
567,control,0,0,0,0,0,1
568,control,0,0,0,0,0,1
569,notification-interval-longer,0,0,0,0,0,1
570,notification-interval-longer,0,0,0,0,0,1
571,control,0,1,0,0,0,1
572,notification-interval-longer,0,0,0,0,0,1
573,notification-interval-longer,0,0,0,0,0,1
574,control,0,3,0,0,0,1
575,control,0,0,0,0,0,1
576,notification-interval-longer,0,0,0,0,0,1
577,notification-interval-longer,0,0,0,0,0,1
578,control,0,0,0,0,0,2
579,control,0,0,0,0,0,1
580,notification-interval-longer,0,0,0,0,0,1
581,notification-interval-longer,0,1,0,0,1,2
582,notification-interval-longer,0,0,0,0,0,1
583,control,0,0,0,0,0,1
584,control,0,2,0,0,0,1
585,control,0,1,0,0,0,1
586,control,0,0,0,0,0,1
587,notification-interval-longer,0,0,0,0,0,1
588,notification-interval-longer,0,2,0,0,0,1
589,notification-interval-longer,0,0,0,0,0,1
590,notification-interval-short,0,9,0,0,0,1
591,notification-interval-longer,0,0,0,0,0,1
592,notification-interval-short,0,17,0,0,0,1
593,control,0,0,0,0,0,1
594,notification-interval-short,0,0,0,0,0,1
595,notification-interval-short,0,0,0,0,0,2
596,notification-interval-longer,0,0,0,0,0,1
597,notification-interval-short,0,0,0,0,0,1
598,notification-interval-short,0,0,0,0,0,1
599,notification-interval-longer,0,0,0,0,0,1
600,notification-interval-short,0,1,0,0,0,1
601,notification-interval-short,0,1,0,0,0,1
602,notification-interval-short,0,0,0,0,0,1
603,notification-interval-short,0,0,0,0,0,1
604,notification-interval-longer,0,6,0,0,0,1
605,notification-interval-short,0,0,0,0,0,1
606,notification-interval-short,0,33,0,0,4,1
607,control,0,0,0,0,0,1
608,control,0,0,0,0,0,1
609,notification-interval-longer,0,0,0,0,0,1
610,control,0,0,0,0,0,1
611,notification-interval-short,0,0,0,0,0,1
612,notification-interval-longer,0,0,0,0,0,2
613,control,0,4,0,0,0,1
614,notification-interval-longer,0,1,0,0,0,1
615,notification-interval-short,0,0,0,0,0,1
616,notification-interval-short,0,6,0,0,0,2
617,notification-interval-longer,0,0,0,0,0,1
618,notification-interval-longer,0,1,0,0,1,1
619,notification-interval-short,0,0,0,0,0,1
620,notification-interval-longer,0,1,0,0,0,1
621,notification-interval-longer,0,0,0,0,0,1
622,notification-interval-short,0,3,0,0,0,1
623,notification-interval-short,0,0,0,0,0,2
624,notification-interval-longer,0,3,0,0,0,1
625,notification-interval-short,0,0,0,0,0,1
626,notification-interval-longer,0,0,0,0,0,1
627,control,0,0,0,0,0,1
628,notification-interval-longer,0,0,0,0,0,1
629,control,0,4,0,0,0,1
630,notification-interval-longer,0,0,0,0,0,1
631,notification-interval-short,0,0,0,0,0,1
632,control,0,1,0,0,0,1
633,notification-interval-short,0,0,0,0,0,1
634,notification-interval-longer,0,0,0,0,0,1
635,control,0,0,0,0,0,1
636,notification-interval-short,0,0,0,0,0,1
637,notification-interval-short,0,4,0,0,0,1
638,control,0,0,0,0,0,1
639,control,0,0,0,0,0,1
640,control,0,0,0,0,0,1
641,notification-interval-short,0,15,0,0,0,1
642,notification-interval-longer,0,0,0,0,0,1
643,notification-interval-short,0,0,0,0,0,1
644,notification-interval-longer,0,0,0,0,0,1
645,notification-interval-longer,0,0,0,0,0,1
646,control,0,13,0,0,0,1
647,control,0,0,0,0,0,1
648,notification-interval-short,0,1,0,0,0,2
649,notification-interval-longer,0,0,0,0,0,1
650,notification-interval-longer,0,0,0,0,0,1
651,notification-interval-longer,0,0,0,0,0,1
652,notification-interval-short,0,0,0,0,0,2
653,notification-interval-longer,0,0,0,0,0,1
654,notification-interval-short,0,0,0,0,0,1
655,notification-interval-longer,0,0,0,0,0,2
656,control,0,12,0,0,0,1
657,notification-interval-longer,0,0,0,0,0,1
658,notification-interval-longer,0,0,0,0,0,2
659,notification-interval-longer,0,2,0,0,0,2
660,notification-interval-short,0,9,0,0,0,1
661,notification-interval-short,0,0,0,0,0,2
663,control,0,0,0,0,0,1
664,control,0,0,0,0,0,1
665,control,0,1,0,0,0,1
666,notification-interval-longer,0,50,0,0,0,1
667,control,0,11,0,0,0,1
668,notification-interval-longer,0,0,0,0,0,1
669,notification-interval-longer,0,0,0,0,0,1
670,notification-interval-longer,0,0,0,0,0,1
671,notification-interval-short,0,0,0,0,0,1
672,notification-interval-short,0,0,0,0,0,1
673,control,0,1,0,0,0,1
674,notification-interval-short,0,1,0,0,0,1
